Serial Number,Roll_Num,Uni_ID,Student Name, AML3201, CSL2301, CSL3307, CSL4207, CSL4208, CSL4305, CSL4318, CSL4336, CSL5210, CSP2301, ECL3311, GEW1601, GEW1603, GEW1604, GEW1605, GEW1607, GEW1608, GEW1609, GEW1610, GEW1611, GEW1613, AMP1201, CSP1307, CSP2210, ECP1311,Total
 164,10123574,20012164,AAA AAA164, 79.55, 86.67, , 81.03, 81.97, , , , 100, 85.48, , , , , , , , 100, , , , 100, , 85.25, , 86.31
 165,10123575,20012165,AAA AAA165, 75, 86.67, , 84.48, 77.05, , , , 93.33, 80.65, , , , , , , , 87.5, , , , 73.33, , 77.05, , 80.13
 166,10123576,20012166,AAA AAA166, , 64.1, , 85.51, 91.23, , 86.67, 74.42, 0, 67.65, , , , , , , , , , , , , , 0, , 73.86
 167,10123577,20012167,AAA AAA167, 70.45, 76.67, , 86.21, 70.49, , , , 80, 79.03, , 100, , , , , , , , , , 80, , 73.77, , 77.26
 168,10123578,20012168,AAA AAA168, , 78.38, , 78.26, 85.96, , 85.19, 81.4, 0, 76.47, , , , , , , , , , , , , , 0, , 76.01
 169,10123579,20012169,AAA AAA169, 75, 76.67, , 81.03, 75.41, , , , 93.33, 74.19, , 100, , , , , , , , , , 80, , 78.69, , 79.25
 170,10123580,20012170,AAA AAA170, 79.55, 80, , 83.33, 75.41, , , , 80, 77.78, , , , , , , , , , 93.75, , 80, , 78.69, , 79.64
 171,10123581,20012171,AAA AAA171, 86.36, 80, , 85, 77.05, , , , 86.67, 88.89, , 100, , , , , , , , , , 80, , 80.33, , 83.22
 172,10123582,20012172,AAA AAA172, 90.91, 86.67, , 81.67, 80.33, , , , 100, 88.89, , , , , , , , , 100, , , 86.67, , 85.25, , 86.8
 173,10123583,20012173,AAA AAA173, 93.18, 83.33, , 91.67, 78.69, , , , 86.67, 88.89, , , 100, , , , , , , , , 93.33, , 86.89, , 87.92
 174,10123584,20012174,AAA AAA174, 77.27, 80, , 80, 73.77, , , , 80, 74.07, , , , , , , , , , , 100, 86.67, , 80.33, , 79.42
 175,10123585,20012175,AAA AAA175, 97.73, 80, , 83.33, 80.33, , , , 80, 85.19, , , 100, , , , , , , , , 93.33, , 85.25, , 85.91
 176,10123586,20012176,AAA AAA176, 75, 73.33, , 75, 75.41, , , , 66.67, 70.37, , , , , 100, , , , , , , 80, , 75.41, , 75.17
 177,10123587,20012177,AAA AAA177, 79.55, 83.33, , 76.67, 77.05, , , , 86.67, 85.19, , , , , , , , 87.5, , , , 80, , 78.69, , 80.31
 178,10123588,20012178,AAA AAA178, 75, 83.33, , 84.48, 72.13, , , , 80, 80.65, , 100, , , , , , , , , , 86.67, , 75.41, , 79.25
 179,10123589,20012179,AAA AAA179, 75, 76.67, , 83.33, 75.41, , , , 80, 74.07, , 100, , , , , , , , , , 66.67, , 72.13, , 76.06
 180,10123590,20012180,AAA AAA180, 81.82, 76.67, , 86.67, 75.41, , , , 93.33, 77.78, , , , , , , , 100, , , , 100, , 80.33, , 83
 181,10123591,20012181,AAA AAA181, 84.09, 100, , 86.67, 81.97, , , , 86.67, 81.48, , , , , , , , , , 100, , 86.67, , 83.61, , 85.68
 182,10123592,20012182,AAA AAA182, 79.55, 76.67, , 83.33, 77.05, , , , 86.67, 83.33, , , 100, , , , , , , , , 86.67, , 80.33, , 81.88
 183,10123593,20012183,AAA AAA183, 81.82, 76.67, , 83.33, 73.77, , , , 80, 74.07, , , , , , , , , 100, , , 93.33, , 80.33, , 80.54
 184,10123594,20012184,AAA AAA184, 75, 86.67, , 88.33, 77.05, , , , 93.33, 74.07, , 100, , , , , , , , , , 86.67, , 78.69, , 81.66
 185,10123595,20012185,AAA AAA185, 84.09, 93.33, , 90, 81.97, , , , 93.33, 74.07, , 100, , , , , , , , , , 80, , 80.33, , 83.89
 186,10123596,20012186,AAA AAA186, 84.09, 86.67, , 80, 75.41, , , , 80, 77.78, , 100, , , , , , , , , , 80, , 80.33, , 80.76
 187,10123597,20012187,AAA AAA187, 50, 73.33, , 78.33, 59.02, , , , 66.67, 75.93, , , 75, , , , , , , , , 73.33, , 68.85, , 68.46
 188,10123598,20012188,AAA AAA188, 77.27, 86.67, , 86.67, 77.05, , , , 100, 75.93, , 100, , , , , , , , , , 93.33, , 73.77, , 81.43
 189,10123599,20012189,AAA AAA189, , 76.92, , 87.14, 91.23, , 100, 86.05, 0, 85.71, , , , , , , , , , , , , , 0, , 82.88
 190,10123600,20012190,AAA AAA190, 75, 76.67, , 81.67, 70.49, , , , 80, 74.07, , 100, , , , , , , , , , 80, , 68.85, , 75.17
 191,10123601,20012191,AAA AAA191, 93.18, 96.67, , 91.67, 85.25, , , , 93.33, 92.59, , , , , , , 100, , , , , 100, , 93.44, , 92.84
 192,10123602,20012192,AAA AAA192, 79.55, 83.33, , 80, 75.41, , , , 80, 74.07, , , , , , 75, , , , , , 86.67, , 77.05, , 78.3
 193,10123603,20012193,AAA AAA193, 75, 76.67, , 80, 75.41, , , , 73.33, 77.78, , , , , , , , , , , 100, 80, , 73.77, , 76.96
 194,10123604,20012194,AAA AAA194, 77.27, 80, , 88.33, 75.41, , , , 80, 81.48, , , , , , , , 100, , , , 93.33, , 80.33, , 82.1
 195,10123605,20012195,AAA AAA195, 90.91, 86.67, , 90, 78.69, , , , 86.67, 88.89, , , , 100, , , , , , , , 100, , 86.89, , 88.14
 196,10123606,20012196,AAA AAA196, 77.27, 80, , 85, 78.69, , , , 86.67, 85.19, , , , , , , , 100, , , , 100, , 81.97, , 83.89
 197,10123607,20012197,AAA AAA197, 95.45, 90, , 93.33, 88.52, , , , 100, 96.3, , , , , 100, , , , , , , 100, , 91.8, , 93.74
 198,10123608,20012198,AAA AAA198, , 66.67, , 82.86, 85.96, , 86.67, 79.07, 0, 82.14, , , , , , , , , , , , , , 41.67, , 78.01
 199,10123609,20012199,AAA AAA199, 77.27, 83.33, , 85, 77.05, , , , 86.67, 74.07, , , , , 100, , , , , , , 86.67, , 81.97, , 81.66
 200,10123610,20012200,AAA AAA200, 75, 80, , 83.33, 75.41, , , , 80, 77.78, , , , , 100, , , , , , , 86.67, , 83.61, , 81.21
 201,10123611,20012201,AAA AAA201, 89.13, 89.29, , 85.96, 79.03, , , , 93.33, 90.91, , , , , , , , , 100, , , 93.33, , 93.22, , 89.59
 202,10123612,20012202,AAA AAA202, 84.78, 92.86, , 92.98, 87.1, , , , 93.33, 87.27, , , , , , 100, , , , , , 93.33, , 91.53, , 90.5
 203,10123613,20012203,AAA AAA203, 95.45, 100, , 95, 91.8, , , , 100, 96.3, , , , , 100, , , , , , , 100, , 91.8, , 95.08
 204,10123614,20012204,AAA AAA204, , 78.79, , 70.89, 82.46, , 90, 74.42, , 82.14, , , , , , , , , , , , , , , , 79.28
 205,10123615,20012205,AAA AAA205, 78.26, 78.57, , 77.19, 80.65, , , , 86.67, 83.64, , , , , , , , , 100, , , 93.33, , 79.66, , 81.9
 206,10123616,20012206,AAA AAA206, 76.09, 82.14, , 80.7, 77.42, , , , 86.67, 80, , , 75, , , , , , , , , 80, , 76.27, , 78.73
 207,10123617,20012207,AAA AAA207, 80.43, 85.71, , 84.21, 75.81, , , , 86.67, 76.36, , , , , , 100, , , , , , 93.33, , 82.2, , 82.58
 208,10123618,20012208,AAA AAA208, 78.26, 85.71, , 82.46, 79.03, , , , 86.67, 83.64, , , , , , , , 100, , , , 93.33, , 81.36, , 83.26
 209,10123619,20012209,AAA AAA209, 84.78, 92.86, , 91.23, 88.71, , , , 93.33, 87.27, , , , , , , , , , , 100, 100, , 86.44, , 89.59
 210,10123620,20012210,AAA AAA210, 60.87, 67.86, , 73.68, 70.97, , , , 73.33, 76.36, , 100, , , , , , , , , , 73.33, , 67.8, , 71.27
 211,10123621,20012211,AAA AAA211, 80.43, 89.29, , 87.72, 80.65, , , , 86.67, 80, , 100, , , , , , , , , , 93.33, , 84.75, , 85.07
 212,10123622,20012212,AAA AAA212, 82.61, 82.14, , 82.46, 79.03, , , , 86.67, 80, , , , , , 100, , , , , , 86.67, , 81.36, , 82.58
 213,10123623,20012213,AAA AAA213, 78.26, 82.14, , 77.19, 75.81, , , , 93.33, 76.36, , , , , , 100, , , , , , 86.67, , 75.42, , 79.41
 214,10123624,20012214,AAA AAA214, 82.61, 89.29, , 84.21, 83.87, , , , 86.67, 83.64, , 87.5, , , , , , , , , , 86.67, , 81.36, , 83.94
 215,10123625,20012215,AAA AAA215, 76.09, 85.71, , 80.7, 79.03, , , , 80, 80, , , , , , , , , 100, , , 80, , 79.66, , 80.54
 216,10123626,20012216,AAA AAA216, 56.52, 57.14, , 68.42, 51.61, , , , 66.67, 69.09, , , , , , 100, , , , , , 66.67, , 55.93, , 61.76
 217,10123627,20012217,AAA AAA217, 80.43, 82.14, , 84.21, 80.65, , , , 93.33, 80, , , , , , 100, , , , , , 93.33, , 76.27, , 82.35
 218,10123628,20012218,AAA AAA218, 76.09, 78.57, , 82.46, 77.42, , , , 86.67, 76.36, , , , , , 100, , , , , , 93.33, , 72.88, , 79.19
 219,10123629,20012219,AAA AAA219, 80.43, 92.86, , 85.96, 82.26, , , , 86.67, 80, , , , , , , , , 100, , , 86.67, , 88.14, , 85.75
 220,10123630,20012220,AAA AAA220, 89.13, 85.71, , 92.98, 80.65, , , , 93.33, 90.91, , , , 100, , , , , , , , 80, , 93.22, , 89.59
 221,10123631,20012221,AAA AAA221, 76.09, 82.14, , 78.95, 77.42, , , , 86.67, 83.64, , , , , , , , 87.5, , , , 80, , 83.05, , 81.22
 222,10123632,20012222,AAA AAA222, 76.09, 82.14, , 80.7, 79.03, , , , 80, 80, , , , , , , , , 100, , , 80, , 76.27, , 79.41
 223,10123633,20012223,AAA AAA223, 78.26, 78.57, , 84.21, 77.42, , , , 73.33, 90.91, , 100, , , , , , , , , , 100, , 74.58, , 81.45
 224,10123634,20012224,AAA AAA224, 82.61, 82.14, , 84.21, 80.65, , , , 80, 80, , , , , , , 100, , , , , 86.67, , 81.36, , 82.58
 225,10123635,20012225,AAA AAA225, 80.43, 85.71, , 85.96, 77.42, , , , 80, 80, , , 100, , , , , , , , , 86.67, , 84.75, , 83.26
 226,10123636,20012226,AAA AAA226, 76.09, 78.57, , 75.44, 75.81, , , , 73.33, 72.73, , , , , , , , 75, , , , 86.67, , 76.27, , 76.24
 227,10123637,20012227,AAA AAA227, 78.26, 85.71, , 80.7, 82.26, , , , 80, 80, , , , 100, , , , , , , , 80, , 77.97, , 80.77
 228,10123638,20012228,AAA AAA228, 69.57, 78.57, , 80.7, 77.42, , , , 73.33, 72.73, , 100, , , , , , , , , , 80, , 74.58, , 76.47
 229,10123639,20012229,AAA AAA229, 76.09, 82.14, , 85.96, 79.03, , , , 93.33, 83.64, , , , , , , , 100, , , , 93.33, , 81.36, , 83.71
 230,10123640,20012230,AAA AAA230, 84.78, 78.57, , 92.98, 87.1, , , , 100, 83.64, , 100, , , , , , , , , , 93.33, , 77.97, , 85.97
 231,10123641,20012231,AAA AAA231, 76.09, 82.14, , 78.95, 79.03, , , , 86.67, 83.64, , , 75, , , , , , , , , 86.67, , 77.97, , 80.09
 232,10123642,20012232,AAA AAA232, 60.87, 71.43, , 78.95, 75.81, , , , 73.33, 76.36, , , 100, , , , , , , , , 80, , 67.8, , 73.3
 233,10123643,20012233,AAA AAA233, 82.61, 85.71, , 82.46, 83.87, , , , 93.33, 83.64, , , , , , 100, , , , , , 93.33, , 77.97, , 83.94
 234,10123644,20012234,AAA AAA234, 76.09, 82.14, , 84.21, 77.42, , , , 86.67, 80, , , , , , , , 75, , , , 80, , 76.27, , 79.19
 235,10123645,20012235,AAA AAA235, 78.26, 89.29, , 89.47, 88.52, , , , 84.62, 80.65, , , , , , 100, , , , , , 80, , 83.05, , 84.68
 236,10123646,20012236,AAA AAA236, 76.09, 82.14, , 80.7, 78.69, , , , 84.62, 77.42, , , , , , , , 100, , , , 80, , 77.97, , 79.73
 237,10123647,20012237,AAA AAA237, 76.09, 82.14, , 91.23, 86.89, , , , 84.62, 83.87, , , , , , 100, , , , , , 76.67, , 86.44, , 85.14
 238,10123648,20012238,AAA AAA238, 80.43, 85.71, , 89.47, 80.33, , , , 84.62, 87.1, , , , 50, , , , , , , , 83.33, , 89.83, , 84.68
 239,10123649,20012239,AAA AAA239, , 75.76, , 83.33, 78.95, , 80, 76.74, , 78.57, , , , , , , , , , , , , , , , 78.89
 240,10123650,20012240,AAA AAA240, , 90.91, , 77.5, 92.98, , 96.67, 95.35, , 92.86, , , , , , , , , , , , , , , , 91.46
 241,10123651,20012241,AAA AAA241, 80.43, 78.57, , 78.95, 78.69, , , , 84.62, 80.65, , , , , , , , 100, , , , 80, , 79.66, , 80.63
 242,10123652,20012242,AAA AAA242, 89.13, 89.29, , 92.98, 91.8, , , , 84.62, 87.1, , , , , , , , 100, , , , 93.33, , 98.31, , 92.57
 243,10123653,20012243,AAA AAA243, , 66.67, , 71.21, 70.18, , 90, 37.21, , 67.86, , , , , , , , , , , , , , , , 64.04
 244,10123654,20012244,AAA AAA244, 71.74, 71.43, , 73.68, 75.41, , , , 61.54, 74.19, , , , 100, , , , , , , , 73.33, , 71.19, , 73.2
 245,10123655,20012245,AAA AAA245, 80.43, 85.71, , 91.23, 81.97, , , , 76.92, 87.1, , , , 100, , , , , , , , 86.67, , 83.05, , 84.91
 246,10123656,20012246,AAA AAA246, 82.61, 89.29, , 89.47, 86.89, , , , 92.31, 83.87, , , , , , , 100, , , , , 86.67, , 83.05, , 86.26
 247,10123657,20012247,AAA AAA247, 95.65, 100, , 96.49, 100, , , , 100, 96.77, , , , , , , , , , , 100, 86.67, , 96.61, , 96.85
 248,10123658,20012248,AAA AAA248, 82.61, 89.29, , 89.47, 86.89, , , , 92.31, 93.55, , , , , 100, , , , , , , 86.67, , 89.83, , 89.41
 249,10123659,20012249,AAA AAA249, 80.43, 82.14, , 84.21, 81.97, , , , 84.62, 83.87, , , , 100, , , , , , , , 86.67, , 86.44, , 84.68
 250,10123660,20012250,AAA AAA250, 78.26, 78.57, , 85.96, 77.05, , , , 76.92, 80.65, , , , , , , 100, , , , , 80, , 84.75, , 81.98
 251,10123661,20012251,AAA AAA251, 86.96, 78.57, , 91.23, 77.05, , , , 76.92, 90.32, , , , , 100, , , , , , , 80, , 83.05, , 84.46
 252,10123662,20012252,AAA AAA252, 76.09, 85.71, , 85.96, 80.33, , , , 84.62, 77.42, , , , , , , , 100, , , , 80, , 79.66, , 81.31
 253,10123663,20012253,AAA AAA253, 76.09, 71.43, , 75.44, 77.05, , , , 84.62, 77.42, , , 75, , , , , , , , , 73.33, , 72.88, , 75.45
 254,10123664,20012254,AAA AAA254, 76.09, 85.71, , 85.96, 80.33, , , , 84.62, 80.65, , , , , , , , 100, , , , 80, , 83.05, , 82.66
 255,10123665,20012255,AAA AAA255, 76.09, 82.14, , 75.44, 77.05, , , , 84.62, 77.42, , , , , , , 100, , , , , 80, , 83.05, , 80.18
 256,10123666,20012256,AAA AAA256, 67.39, 79.17, , 78.95, 70.49, , , , 88.89, 77.42, , , , , , , 100, , , , , 73.33, , 67.8, , 74.07
 257,10123667,20012257,AAA AAA257, 71.74, 78.57, , 82.46, 75.41, , , , 76.92, 77.42, , , , , , , , , 75, , , 80, , 76.27, , 77.03
 258,10123668,20012258,AAA AAA258, 71.74, 75, , 75.44, 75.41, , , , 84.62, 67.74, , , , , , , 87.5, , , , , 80, , 74.58, , 75
 259,10123669,20012259,AAA AAA259, 67.39, 64.29, , 78.95, 67.21, , , , 84.62, 67.74, , , , , , , 87.5, , , , , 86.67, , 76.27, , 74.1
 260,10123670,20012260,AAA AAA260, 73.91, 85.71, , 80.7, 77.05, , , , 92.31, 77.42, , , , , , , , 100, , , , 80, , 76.27, , 79.5
 261,10123671,20012261,AAA AAA261, 69.57, 71.43, , 78.95, 67.21, , , , 76.92, 74.19, , , , , , , 87.5, , , , , 73.33, , 71.19, , 72.97
 262,10123672,20012262,AAA AAA262, 76.09, 89.29, , 78.95, 77.05, , , , 84.62, 70.97, , , , , , 100, , , , , , 80, , 72.88, , 77.48
 263,10123673,20012263,AAA AAA263, 76.09, 78.57, , 82.46, 72.13, , , , 76.92, 77.42, , , , , , , , , , , 100, 86.67, , 83.05, , 80.18
 264,10123674,20012264,AAA AAA264, 76.09, 92.86, , 92.98, 81.97, , , , 84.62, 87.1, , , , , , , 100, , , , , 80, , 86.44, , 86.04
 265,10123675,20012265,AAA AAA265, 80.43, 85.71, , 87.72, 75.41, , , , 76.92, 80.65, , , , , , , , , , , 100, 86.67, , 88.14, , 84.01
 266,10123676,20012266,AAA AAA266, , 87.88, , 75, 82.46, , 93.33, 83.72, , 82.14, , , , , , , , , , , , , , , , 84.04
 267,10123677,20012267,AAA AAA267, 82.61, 78.57, , 85.96, 77.05, , , , 92.31, 83.87, , , , , , , , , , , 100, 86.67, , 84.75, , 84.23
 268,10123678,20012268,AAA AAA268, 65.22, 71.43, , 71.93, 68.85, , , , 76.92, 67.74, , , , , , , , 75, , , , 80, , 62.71, , 68.69
 269,10123679,20012269,AAA AAA269, 78.26, 89.29, , 84.21, 80.33, , , , 84.62, 87.1, , , , 100, , , , , , , , 80, , 76.27, , 81.98
 270,10123680,20012270,AAA AAA270, 78.26, 82.14, , 82.46, 75.41, , , , 76.92, 77.42, , , , , , , 87.5, , , , , 86.67, , 76.27, , 78.83
 271,10123681,20012271,AAA AAA271, 80.43, 75, , 85.96, 80.33, , , , 84.62, 83.87, , , , , , , 100, , , , , 80, , 81.36, , 82.43
 272,10123682,20012272,AAA AAA272, 60.87, 78.57, , 84.21, 72.13, , , , 69.23, 74.19, , , , , , , 100, , , , , 80, , 71.19, , 74.32
 273,10123683,20012273,AAA AAA273, 85.11, 83.33, , 80, 75.44, , , , 80, 80, , , , , , , 100, , , , , 80, , 78.99, , 80.62
 274,10123684,20012274,AAA AAA274, 76.6, 80, , 78.33, 75.44, , , , 80, 83.33, , , , , , , 100, , , , , 93.33, , 79.83, , 80.85
 275,10123685,20012275,AAA AAA275, 97.87, 100, , 98.33, 100, , , , 100, 100, , , , , , , 100, , , , , 93.33, , 100, , 99.11
 276,10123686,20012276,AAA AAA276, 34.04, 50, , 36.67, 35.09, , , , 53.33, 56.67, , , , , , , , 100, , , , 60, , 57.98, , 50.33
 277,10123687,20012277,AAA AAA277, 78.72, 80, , 81.67, 80.7, , , , 80, 86.67, , , 100, , , , , , , , , 86.67, , 78.15, , 81.74
 278,10123688,20012278,AAA AAA278, 53.19, 53.33, , 53.33, 49.12, , , , 53.33, 53.33, , , , , , 25, , , , , , 60, , 46.22, , 50.33
 279,10123689,20012279,AAA AAA279, 78.72, 86.67, , 81.67, 82.46, , , , 86.67, 86.67, , 100, , , , , , , , , , 86.67, , 81.51, , 83.74
 280,10123690,20012280,AAA AAA280, 76.6, 80, , 81.67, 78.95, , , , 80, 80, , , , , , , 75, , , , , 80, , 76.47, , 78.62
 281,10123691,20012281,AAA AAA281, 78.72, 83.33, , 90, 80.7, , , , 93.33, 86.67, , , , 100, , , , , , , , 80, , 78.99, , 83.74
 282,10123692,20012282,AAA AAA282, 76.6, 80, , 76.67, 78.95, , , , 80, 80, , , , , , , , , 100, , , 80, , 76.47, , 78.84
 283,10123693,20012283,AAA AAA283, 74.47, 73.33, , 70, 68.42, , , , 80, 63.33, , , , , , , 100, , , , , 80, , 68.07, , 71.49
 284,10123694,20012284,AAA AAA284, 68.09, 76.67, , 68.33, 66.67, , , , 80, 80, , , , , , 100, , , , , , 80, , 78.15, , 75.5
 285,10123695,20012285,AAA AAA285, , 86.49, , 85.33, 96.49, , 100, 95.35, , 96.43, , , , , , , , , , , , , , , , 94.14
 286,10123696,20012286,AAA AAA286, 85.11, 86.67, , 85, 87.72, , , , 86.67, 90, , , , , , , , 100, , , , 86.67, , 83.19, , 86.41
 287,10123697,20012287,AAA AAA287, 78.72, 80, , 76.67, 75.44, , , , 80, 76.67, , , , , , , , , , , 100, 86.67, , 76.47, , 78.62
 288,10123698,20012288,AAA AAA288, 57.45, 50, , 58.33, 61.4, , , , 80, 60, , , 75, , , , , , , , , 80, , 69.75, , 64.81
 289,10123699,20012289,AAA AAA289, 76.6, 90, , 81.67, 78.95, , , , 86.67, 86.67, , , , , , , , , 100, , , 86.67, , 79.83, , 82.85
 290,10123700,20012290,AAA AAA290, 76.6, 86.67, , 83.33, 78.95, , , , 100, 93.33, , , , 100, , , , , , , , 86.67, , 77.31, , 83.96
 291,10123701,20012291,AAA AAA291, 80.85, 83.33, , 85, 82.46, , , , 80, 83.33, , , , , , , , , 100, , , 86.67, , 79.83, , 82.85
 292,10123702,20012292,AAA AAA292, 78.72, 80, , 80, 84.21, , , , 93.33, 80, , , , 100, , , , , , , , 80, , 78.15, , 81.51
 293,10123703,20012293,AAA AAA293, 89.36, 90, , 90, 91.23, , , , 100, 90, , , , , , , 100, , , , , 100, , 89.92, , 91.76
 294,10123704,20012294,AAA AAA294, , 78.38, , 78.67, 82.46, , 93.33, 83.72, , 89.29, , , , , , , , , , , , , , , , 84.91
 295,10123705,20012295,AAA AAA295, 80.85, 83.33, , 83.33, 80.7, , , , 80, 83.33, , , , , , , , , 100, , , 80, , 78.15, , 81.51
 296,10123706,20012296,AAA AAA296, 82.98, 86.67, , 83.33, 84.21, , , , 80, 80, , , , , , , , , 100, , , 80, , 79.83, , 82.41
 297,10123707,20012297,AAA AAA297, , 75.68, , 76, 80.7, , 93.33, 76.74, , 78.57, , , , , , , , , , , , , , , , 80.63
 298,10123708,20012298,AAA AAA298, , 75.68, , 77.33, 84.21, , 96.67, 83.72, , 82.14, , , , , , , , , , , , , , , , 84.46
 299,10123709,20012299,AAA AAA299, 78.72, 80, , 83.33, 78.95, , , , 86.67, 80, , , , 100, , , , , , , , 80, , 78.15, , 80.85
 300,10123710,20012300,AAA AAA300, 36.17, 73.33, , 43.33, 42.11, , , , 53.33, 36.67, , , , 50, , , , , , , , 53.33, , 36.97, , 43.43
 301,10123711,20012301,AAA AAA301, 85.11, 70, , 70, 71.93, , , , 93.33, 80, , , , , , 100, , , , , , 86.67, , 68.07, , 76.39
 302,10123712,20012302,AAA AAA302, 57.45, 56.67, , 48.33, 52.63, , , , 66.67, 73.33, , , , , , , 100, , , , , 80, , 63.87, , 63.03
 303,10123713,20012303,AAA AAA303, 76.6, 83.33, , 76.67, 77.19, , , , 86.67, 80, , 100, , , , , , , , , , 80, , 78.15, , 79.73
 304,10123714,20012304,AAA AAA304, 87.23, 90, , 85.71, 83.05, , , , 80, 81.48, , , , , , , , , 100, , , 85.71, , 82.64, , 84.6
 305,10123715,20012305,AAA AAA305, 80.85, 80, , 82.54, 84.75, , , , 86.67, 81.48, , , , , , , 100, , , , , 85.71, , 77.69, , 82.14
 306,10123716,20012306,AAA AAA306, 63.83, 70, , 69.84, 61.02, , , , 86.67, 66.67, , , , , , , , , 100, , , 85.71, , 76.03, , 72.54
 307,10123717,20012307,AAA AAA307, 80.85, 83.33, , 77.78, 77.97, , , , 80, 85.19, , , , , 100, , , , , , , 78.57, , 84.3, , 82.14
 308,10123718,20012308,AAA AAA308, 80.85, 80, , 82.54, 77.97, , , , 100, 88.89, , , , , , , , , , , 100, 92.86, , 77.69, , 83.48
 309,10123719,20012309,AAA AAA309, , 72.97, , 76, 85.96, , 93.33, 83.72, , 89.29, , , , , , , , , , , , , , , , 84.46
 310,10123720,20012310,AAA AAA310, , 78.38, , 80, 91.23, , 90, 93.02, , 92.86, , , , , , , , , , , , , , , , 88.74
 311,10123721,20012311,AAA AAA311, 82.98, 86.67, , 79.37, 81.36, , , , 80, 81.48, , , 100, , , , , , , , , 92.86, , 77.69, , 81.92
 312,10123722,20012312,AAA AAA312, , 91.89, , 82.67, 96.49, , 100, 95.35, , 100, , , , , , , , , , , , , , , , 94.59
 313,10123723,20012313,AAA AAA313, 78.72, 80, , 76.19, 79.66, , , , 80, 77.78, , , , , , , , , 100, , , 85.71, , 76.03, , 79.02
 314,10123724,20012314,AAA AAA314, 82.98, 86.67, , 85.71, 83.05, , , , 80, 81.48, , , , , , , , , , , 100, 92.86, , 83.47, , 84.6
 315,10123725,20012315,AAA AAA315, 93.62, 93.33, , 87.3, 91.53, , , , 80, 88.89, , , , 100, , , , , , , , 92.86, , 91.74, , 90.63
 316,10123726,20012316,AAA AAA316, 80.85, 80, , 85.71, 79.66, , , , 80, 81.48, , , , , , , , , , 100, , 78.57, , 76.86, , 80.8
 317,10123727,20012317,AAA AAA317, 93.62, 93.33, , 87.3, 88.14, , , , 93.33, 92.59, , , , , , 100, , , , , , 92.86, , 89.26, , 90.85
 318,10123728,20012318,AAA AAA318, 76.6, 80, , 77.78, 76.27, , , , 80, 81.48, , , , , , , , 100, , , , 78.57, , 76.03, , 78.57
 319,10123729,20012319,AAA AAA319, 85.11, 93.33, , 88.89, 79.66, , , , 86.67, 81.48, , 100, , , , , , , , , , 78.57, , 77.69, , 83.26
 320,10123730,20012320,AAA AAA320, 76.6, 70, , 66.67, 61.02, , , , 80, 70.37, , , , , , 100, , , , , , 78.57, , 71.07, , 71.65
 321,10123731,20012321,AAA AAA321, 61.7, 56.67, , 52.38, 59.32, , , , 73.33, 70.37, , , , , , , , , 87.5, , , 85.71, , 51.24, , 61.16
 322,10123732,20012322,AAA AAA322, 78.72, 83.33, , 80.95, 86.44, , , , 93.33, 85.19, , , , , , , , 100, , , , 92.86, , 76.03, , 83.04
 323,10123733,20012323,AAA AAA323, 76.6, 76.67, , 76.19, 76.27, , , , 80, 77.78, , , , , 100, , , , , , , 78.57, , 77.69, , 78.13
 324,10123734,20012324,AAA AAA324, , 75.68, , 80, 89.47, , 100, 83.72, , 89.29, , , , , , , , , , , , , , , , 87.16
 325,10123735,20012325,AAA AAA325, 82.98, 86.67, , 84.13, 77.97, , , , 86.67, 77.78, , , , , , , , 100, , , , 85.71, , 79.34, , 82.14
 326,10123736,20012326,AAA AAA326, , 78.38, , 77.33, 91.23, , 96.67, 83.72, , 96.43, , , , , , , , , , , , , , , , 87.39
 327,10123737,20012327,AAA AAA327, 85.11, 90, , 82.54, 86.44, , , , 93.33, 81.48, , , , , , 100, , , , , , 92.86, , 77.69, , 84.38
 328,10123738,20012328,AAA AAA328, 85.11, 86.67, , 88.89, 79.66, , , , 86.67, 88.89, , , , , , , , , 100, , , 92.86, , 79.34, , 85.04
 329,10123739,20012329,AAA AAA329, 89.36, 90, , 84.13, 79.66, , , , 93.33, 88.89, , , , , , , , , , , 100, 92.86, , 79.34, , 85.49
 330,10123740,20012330,AAA AAA330, 78.72, 86.67, , 88.89, 81.36, , , , 86.67, 81.48, , , , , , , , , 100, , , 92.86, , 77.69, , 83.26
 331,10123741,20012331,AAA AAA331, 78.72, 76.67, , 76.19, 79.66, , , , 86.67, 88.89, , , , , , , , 100, , , , 85.71, , 76.03, , 80.58
 332,10123742,20012332,AAA AAA332, 80.85, 90, , 85.71, 83.05, , , , 80, 92.59, , , , , , , , , 100, , , 92.86, , 82.64, , 85.71
 333,10123743,20012333,AAA AAA333, 78.72, 93.33, , 84.13, 83.05, , , , 93.33, 92.59, , , , , , , , , , , 100, 92.86, , 79.34, , 85.49
 334,10123744,20012334,AAA AAA334, 65.96, 73.33, , 69.84, 74.58, , , , 80, 74.07, , , , , , 100, , , , , , 78.57, , 74.38, , 74.33
 335,10123745,20012335,AAA AAA335, 70.21, 76.67, , 69.84, 69.49, , , , 80, 81.48, , , , , , , , , , , 100, 71.43, , 74.38, , 74.78
 336,10123746,20012336,AAA AAA336, , , 93.33, 93.22, , 89.66, , , 93.75, , 84.48, , , , 100, , , , , , , , 87.5, 93.44, 93.33, 91.59
