Serial Number,Roll_Num,Uni_ID,Student Name, AML3201, CSL2301, CSL3307, CSL4207, CSL4208, CSL4305, CSL4318, CSL4336, CSL5210, CSP2301, ECL3311, GEW1601, GEW1603, GEW1604, GEW1605, GEW1607, GEW1608, GEW1609, GEW1610, GEW1611, GEW1613, AMP1201, CSP1307, CSP2210, ECP1311,Total
 39,10123449,20012039,AAA AAA39, 77.78, 76.67, , 76.36, 80.36, , , , 81.25, 82.14, , , , , , , , , , 100, , 86.67, , 72.88, , 78.77
 40,10123450,20012040,AAA AAA40, 80, 83.33, , 81.82, 80.36, , , , 81.25, 82.14, , , , , 100, , , , , , , 80, , 79.66, , 81.51
 41,10123451,20012041,AAA AAA41, 48.89, 50, , 52.73, 64.29, , , , 62.5, 64.29, , , , 100, , , , , , , , 66.67, , 38.98, , 54.79
 42,10123452,20012042,AAA AAA42, 88.89, 83.33, , 83.64, 85.71, , , , 90.63, 91.07, , , , , , , , , , 100, , 93.33, , 79.66, , 86.07
 43,10123453,20012043,AAA AAA43, , 78.79, , 87.32, 82.46, , 96.67, 83.72, , 85.19, , , , , , , , , , , , , , , , 86.64
 44,10123454,20012044,AAA AAA44, 75.56, 83.33, , 76.36, 75, , , , 81.25, 78.57, , , , , , , , 100, , , , 80, , 76.27, , 78.31
 45,10123455,20012045,AAA AAA45, 75.56, 80, , 74.55, 75, , , , 75, 76.79, , , , 100, , , , , , , , 80, , 74.58, , 76.71
 46,10123456,20012046,AAA AAA46, , 75.76, , 84.51, 84.21, , 93.33, 79.07, , 81.48, , , , , , , , , , , , , , , , 83.64
 47,10123457,20012047,AAA AAA47, 77.78, 76.67, , 81.82, 82.14, , , , 93.75, 82.14, , , , , 100, , , , , , , 93.33, , 80.51, , 83.11
 48,10123458,20012048,AAA AAA48, 80, 83.33, , 87.27, 82.14, , , , 93.75, 83.93, , , , , , , , , 100, , , 86.67, , 79.66, , 84.02
 49,10123459,20012049,AAA AAA49, 75.56, 76.67, , 76.36, 78.57, , , , 81.25, 78.57, , , , , , , , 100, , , , 80, , 75.42, , 78.08
 50,10123460,20012050,AAA AAA50, 77.78, 86.67, , 76.36, 89.29, , , , 87.5, 96.43, , , , , , , 75, , , , , 80, , 75.42, , 82.19
 51,10123461,20012051,AAA AAA51, 91.11, 96.67, , 87.27, 91.07, , , , 87.5, 100, , , , , , , 100, , , , , 80, , 89.83, , 91.1
 52,10123462,20012052,AAA AAA52, 84.44, 80, , 76.36, 80.36, , , , 87.5, 85.71, , , , , 100, , , , , , , 86.67, , 78.81, , 82.19
 53,10123463,20012053,AAA AAA53, 75.56, 76.67, , 76.36, 64.29, , , , 75, 78.57, , , 75, , , , , , , , , 86.67, , 71.19, , 74.2
 54,10123464,20012054,AAA AAA54, 46.67, 40, , 45.45, 42.86, , , , 37.5, 62.5, , , , , , , 75, , , , , 60, , 54.24, , 50.91
 55,10123465,20012055,AAA AAA55, , 75.76, , 85.92, 89.47, , 100, 74.42, , 77.78, , , , , , , , , , , , , , , , 84.1
